id_cliente,data_transação,categoria_produto,idade,genero,preco,quantidade
fb3e7183-2f2b-49f0-b6fc-7bb82f62ab66,01/01/2024,Eletrônicos,56,Masculino,3077.35,1
554138dc-b472-4420-9e50-46fe24262598,11/01/2024,Eletrônicos,69,Masculino,3937.89,1
69361fcc-d6ea-44ed-9511-4d08cb5d5ec5,29/02/2024,Alimentos,46,Feminino,8.15,3
119a726d-e9f5-4ebc-bd72-c10e332182a0,10/04/2024,Roupas,32,Feminino,150.71,3
b48da9ae-f9a5-4866-a977-30571fc8496d,15/02/2024,Roupas,60,Feminino,103.89,4
6d1d3b20-8d64-449a-9938-13a122f456c2,27/02/2024,Roupas,25,Masculino,256.48,4
da4a17a9-f01a-45ba-a69e-11d2855662b1,21/01/2024,Eletrônicos,38,Feminino,3685.05,1
c02c8ea1-b5de-4428-842c-d38496d45e18,04/02/2024,Casa & Cozinha,56,Masculino,1330.04,1
5f96bde5-7df6-4e32-b926-c0a2da22c9ad,17/04/2024,Eletrônicos,36,Feminino,708.92,1
c7887b8b-8d58-4d53-a922-7ea127329d6e,03/03/2024,Casa & Cozinha,40,Feminino,1137.07,1
4d0336dc-f82d-49df-802b-933827f03fec,07/02/2024,Livros,28,Feminino,110.3,1
98ba68f0-dac7-473c-9e48-900962e4bf8a,15/03/2024,Eletrônicos,28,Masculino,4212.5,2
58cad324-0ca2-4fb7-a82e-15ed05926248,14/03/2024,Eletrônicos,41,Masculino,2782.22,1
11643747-9bee-4c30-bf03-985f7bb88a24,03/04/2024,Eletrônicos,70,Masculino,2930.94,2
c751531c-0462-4753-ab74-c62919c671ad,07/05/2024,Roupas,53,Masculino,25.01,4
251d527c-2a84-4715-81f9-eb2aa4d10bac,02/03/2024,Roupas,57,Masculino,203.87,2
caaf5309-4d11-4c1f-b9cb-826ce761e38f,28/04/2024,Casa & Cozinha,41,Feminino,555.08,1
3d448446-d0d0-4245-af2d-5e873ccab262,09/05/2024,Casa & Cozinha,20,Feminino,225.6,1
88fdb661-d40b-4c19-9430-dd4fd86975a4,08/04/2024,Eletrônicos,39,Feminino,798.97,1
16ad3455-48bc-4a4f-a89b-7ff8718a286e,02/05/2024,Casa & Cozinha,70,Feminino,1444.47,1
8e646438-0650-4f30-b313-2a8a42473829,07/05/2024,Roupas,19,Masculino,110.36,3
6c68489d-f6a1-483f-8939-01345b3fa148,04/05/2024,Casa & Cozinha,41,Feminino,1328.5,1
41326bf9-8026-40e1-b60b-9d269326e61f,20/03/2024,Livros,61,Masculino,192.14,2
64975701-bc52-40d6-9753-679e6fda935a,19/04/2024,Roupas,47,Feminino,283.55,3
294d996e-acfe-4b8a-a6f3-dfc625a3c817,09/01/2024,Livros,55,Feminino,176.94,1
9ec7df5e-6a9c-479d-8f19-655109e2e8d7,21/02/2024,Casa & Cozinha,19,Feminino,1363.3,1
a1ea7dcb-fe43-46d6-9c9e-c14475bdafc3,08/01/2024,Alimentos,38,Feminino,18.01,4
c1aa3ae3-40c0-4cea-82af-fedd802b470d,17/03/2024,Eletrônicos,50,Feminino,1181.61,2
7cfcf566-cd6d-4c83-bcde-2c4008b647e7,06/05/2024,Roupas,29,Masculino,195.39,4
b8d0d5ad-fe1b-4860-9b8e-d4b5b328bc52,04/05/2024,Livros,39,Feminino,100.18,1
98858b79-32cb-4c2e-be67-bbae3d0d88a5,17/01/2024,Alimentos,61,Feminino,9.44,9
